REFERENCE_NUMBER,ENTITY_TYPE,FIRST_NAME,SECOND_NAME,THIRD_NAME,FOURTH_NAME,UN_LIST_TYPE,DESIGNATION,NATIONALITY,NATIONALITY2
IRe.036,ENTITY,KHATAM AL-ANBIYA CONSTRUCTION HEADQUARTERS (KAA),,,,Iran,,,
QDe.168,ENTITY,KHATIBA AL-TAWHID WAL-JIHAD (KTJ),,,,Al-Qaida,,,
QDe.158,ENTITY,KHATIBA IMAM AL-BUKHARI (KIB),,,,Al-Qaida,,,
IRe.037,ENTITY,KHORASAN METALLURGY INDUSTRIES,,,,Iran,,,
KPe.060,ENTITY,"KINGLY WON INTERNATIONAL CO., LTD",,,,DPRK,,,
KPe.061,ENTITY,KOREA ACHIM SHIPPING CO,,,,DPRK,,,
KPe.062,ENTITY,KOREA ANSAN SHIPPING COMPANY,,,,DPRK,,,
KPe.019,ENTITY,KOREA COMPLEX EQUIPMENT IMPORT CORPORATION,,,,DPRK,,,
KPe.035,ENTITY,KOREA DAESONG BANK,,,,DPRK,,,
KPe.042,ENTITY,KOREA DAESONG GENERAL TRADING CORPORATION,,,,DPRK,,,
KPe.037,ENTITY,KOREA FOREIGN TECHNICAL TRADE CENTER,,,,DPRK,,,
KPe.011,ENTITY,KOREA HEUNGJIN TRADING COMPANY,,,,DPRK,,,
KPe.006,ENTITY,KOREA HYOKSIN TRADING CORPORATION,,,,DPRK,,,
KPe.039,ENTITY,KOREA INTERNATIONAL CHEMICAL JOINT VENTURE COMPANY,,,,DPRK,,,
KPe.014,ENTITY,KOREA KUMRYONG TRADING CORPORATION,,,,DPRK,,,
KPe.044,ENTITY,KOREA KUMSAN TRADING CORPORATION,,,,DPRK,,,
KPe.025,ENTITY,KOREA KWANGSON BANKING CORPORATION (KKBC),,,,DPRK,,,
KPe.026,ENTITY,KOREA KWANGSONG TRADING CORPORATION,,,,DPRK,,,
KPe.001,ENTITY,KOREA MINING DEVELOPMENT TRADING CORPORATION,,,,DPRK,,,
KPe.063,ENTITY,KOREA MYONGDOK SHIPPING CO,,,,DPRK,,,
KPe.038,ENTITY,KOREA PUGANG TRADING CORPORATION,,,,DPRK,,,
KPe.002,ENTITY,KOREA RYONBONG GENERAL CORPORATION,,,,DPRK,,,
KPe.016,ENTITY,KOREA RYONHA MACHINERY JOINT VENTURE CORPORATION,,,,DPRK,,,
KPe.064,ENTITY,KOREA SAMJONG SHIPPING,,,,DPRK,,,
KPe.065,ENTITY,KOREA SAMMA SHIPPING CO,,,,DPRK,,,
KPe.041,ENTITY,KOREA TAESONG TRADING COMPANY,,,,DPRK,,,
KPe.033,ENTITY,KOREA UNITED DEVELOPMENT BANK,,,,DPRK,,,
KPe.066,ENTITY,KOREA YUJONG SHIPPING CO LTD,,,,DPRK,,,
KPe.012,ENTITY,KOREAN COMMITTEE FOR SPACE TECHNOLOGY,,,,DPRK,,,
KPe.048,ENTITY,KOREAN NATIONAL INSURANCE COMPANY (KNIC),,,,DPRK,,,
KPe.008,ENTITY,KOREAN TANGUN TRADING CORPORATION,,,,DPRK,,,
KPe.045,ENTITY,KORYO BANK,,,,DPRK,,,
KPe.049,ENTITY,KORYO CREDIT DEVELOPMENT BANK,,,,DPRK,,,
KPe.067,ENTITY,KOTI CORP,,,,DPRK,,,
QDe.096,ENTITY,LASHKAR I JHANGVI (LJ),,,,Al-Qaida,,,
QDe.118,ENTITY,LASHKAR-E-TAYYIBA,,,,Al-Qaida,,,
KPe.017,ENTITY,LEADER (HONG KONG) INTERNATIONAL,,,,DPRK,,,
LYe.002,ENTITY,LIBYAN AFRICA INVESTMENT PORTFOLIO,,,,Libya,,,
LYe.001,ENTITY,LIBYAN INVESTMENT AUTHORITY,,,,Libya,,,
QDe.011,ENTITY,LIBYAN ISLAMIC FIGHTING GROUP,,,,Al-Qaida,,,
IQe.200,ENTITY,LOGARCHEO S.A.,,,,Iraq,,,
CFe.002,ENTITY,LORD’S RESISTANCE ARMY,,,,CAR,,,
IRe.038,ENTITY,M. BABAIE INDUSTRIES,,,,Iran,,,
CDe.006,ENTITY,M23,,,,DRC,,,
CDe.007,ENTITY,MACHANGA LTD,,,,DRC,,,
QDe.012,ENTITY,MAKHTAB AL-KHIDAMAT,,,,Al-Qaida,,,
IRe.039,ENTITY,MAKIN,,,,Iran,,,
IRe.040,ENTITY,MALEK ASHTAR UNIVERSITY,,,,Iran,,,
KPe.050,ENTITY,MANSUDAE OVERSEAS PROJECT GROUP OF COMPANIES,,,,DPRK,,,
KPe.027,ENTITY,MINISTRY OF ATOMIC ENERGY INDUSTRY,,,,DPRK,,,
IRe.042,ENTITY,MINISTRY OF DEFENSE LOGISTICS EXPORT,,,,Iran,,,
KPe.054,ENTITY,MINISTRY OF THE PEOPLE’S ARMED FORCES (MPAF),,,,DPRK,,,
IRe.043,ENTITY,MIZAN MACHINERY MANUFACTURING,,,,Iran,,,
QDe.089,ENTITY,MOROCCAN ISLAMIC COMBATANT GROUP,,,,Al-Qaida,,,
QDe.134,ENTITY,"MOUVEMENT POUR
                                                  L’UNIFICATION ET LE JIHAD EN AFRIQUE DE L’OUEST
                                                  (MUJAO)",,,,Al-Qaida,,,
QDe.136,ENTITY,MUHAMMAD JAMAL NETWORK (MJN),,,,Al-Qaida,,,
QDe.150,ENTITY,MUJAHIDIN INDONESIAN TIMUR (MIT),,,,Al-Qaida,,,
KPe.028,ENTITY,MUNITIONS INDUSTRY DEPARTMENT,,,,DPRK,,,
KPe.068,ENTITY,MYOHYANG SHIPPING CO,,,,DPRK,,,
KPe.004,ENTITY,NAMCHONGANG TRADING CORPORATION,,,,DPRK,,,
KPe.029,ENTITY,NATIONAL AEROSPACE DEVELOPMENT ADMINISTRATION,,,,DPRK,,,
IRe.045,ENTITY,NIRU BATTERY MANUFACTURING COMPANY,,,,Iran,,,
KPe.020,ENTITY,"OCEAN MARITIME MANAGEMENT COMPANY, LIMITED (OMM)",,,,DPRK,,,
KPe.030,ENTITY,OFFICE 39,,,,DPRK,,,
IRe.048,ENTITY,OMRAN SAHEL,,,,Iran,,,
KPe.052,ENTITY,ORGANIZATION AND GUIDANCE DEPARTMENT (OGD),,,,DPRK,,,
IRe.049,ENTITY,ORIENTAL OIL KISH,,,,Iran,,,
KPe.069,ENTITY,PAEKMA SHIPPING CO,,,,DPRK,,,
IRe.050,ENTITY,PARCHIN CHEMICAL INDUSTRIES,,,,Iran,,,
IRe.051,ENTITY,PARS AVIATION SERVICES COMPANY,,,,Iran,,,
IRe.053,ENTITY,PEJMAN INDUSTRIAL SERVICES CORPORATION,,,,Iran,,,
KPe.070,ENTITY,PHYONGCHON SHIPPING & MARINE,,,,DPRK,,,
KPe.071,ENTITY,PRO-GAIN GROUP CORPORATION,,,,DPRK,,,
IRe.055,ENTITY,QODS AERONAUTICS INDUSTRIES,,,,Iran,,,
QDe.021,ENTITY,RABITA TRUST,,,,Al-Qaida,,,
IRe.056,ENTITY,RAH SAHEL,,,,Iran,,,
IRe.057,ENTITY,RAHAB ENGINEERING INSTITUTE,,,,Iran,,,
TAe.013,ENTITY,RAHAT LTD.,,,,Taliban,,,
QDe.128,ENTITY,RAJAH SOLAIMAN MOVEMENT,,,,Al-Qaida,,,
KPe.031,ENTITY,RECONNAISSANCE GENERAL BUREAU,,,,DPRK,,,
QDe.070,ENTITY,REVIVAL OF ISLAMIC HERITAGE SOCIETY,,,,Al-Qaida,,,
QDe.100,ENTITY,RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS (RSRSBCM),,,,Al-Qaida,,,
TAe.011,ENTITY,ROSHAN MONEY EXCHANGE,,,,Taliban,,,
IRe.058,ENTITY,SABALAN COMPANY,,,,Iran,,,
IRe.059,ENTITY,SAD IMPORT EXPORT COMPANY,,,,Iran,,,
IRe.060,ENTITY,SAFETY EQUIPMENT PROCUREMENT (SEP),,,,Iran,,,
IRe.061,ENTITY,SAHAND ALUMINUM PARTS INDUSTRIAL COMPANY (SAPICO),,,,Iran,,,
IRe.062,ENTITY,SAHEL CONSULTANT ENGINEERS,,,,Iran,,,
IRe.063,ENTITY,SANAM INDUSTRIAL GROUP,,,,Iran,,,
KPe.018,ENTITY,SECOND ACADEMY OF NATURAL SCIENCES,,,,DPRK,,,
KPe.032,ENTITY,SECOND ECONOMIC COMMITTEE,,,,DPRK,,,
QDe.154,ENTITY,SELSELAT AL-THAHAB,,,,Al-Qaida,,,
IRe.064,ENTITY,SEPANIR,,,,Iran,,,
IRe.065,ENTITY,SEPASAD ENGINEERING COMPANY,,,,Iran,,,
IRe.066,ENTITY,SHAHID BAGHERI INDUSTRIAL GROUP (SBIG),,,,Iran,,,
IRe.067,ENTITY,SHAHID HEMMAT INDUSTRIAL GROUP (SHIG),,,,Iran,,,
IRe.068,ENTITY,SHAHID KARRAZI INDUSTRIES,,,,Iran,,,
IRe.069,ENTITY,SHAHID SATTARI INDUSTRIES,,,,Iran,,,
IRe.070,ENTITY,SHAHID SAYYADE SHIRAZI INDUSTRIES (SSSI),,,,Iran,,,
KPe.072,ENTITY,SHANGHAI DONGFENG SHIPPING CO LTD,,,,DPRK,,,
KPe.073,ENTITY,SHEN ZHONG INTERNATIONAL SHIPPING,,,,DPRK,,,
IRe.071,ENTITY,SHO'A' AVIATION,,,,Iran,,,
KPe.036,ENTITY,SINGWANG ECONOMICS AND TRADING GENERAL CORPORATION,,,,DPRK,,,
IRe.073,ENTITY,SPECIAL INDUSTRIES GROUP (SIG),,,,Iran,,,
QDe.101,ENTITY,SPECIAL PURPOSE ISLAMIC REGIMENT (SPIR),,,,Al-Qaida,,,
KPe.046,ENTITY,STRATEGIC ROCKET FORCE OF THE KOREAN PEOPLE’S ARMY,,,,DPRK,,,
IQe.208,ENTITY,T.M.G. ENGINEERING LIMITED,,,,Iraq,,,
QDe.108,ENTITY,TAIBAH INTERNATIONAL-BOSNIA OFFICES,,,,Al-Qaida,,,
KPe.003,ENTITY,TANCHON COMMERCIAL BANK,,,,DPRK,,,
QDe.160,ENTITY,TARIQ GIDAR GROUP (TGG),,,,Al-Qaida,,,
IQe.207,ENTITY,TECHNOLOGY AND DEVELOPMENT GROUP LIMITED,,,,Iraq,,,
QDe.132,ENTITY,TEHRIK-E TALIBAN PAKISTAN (TTP),,,,Al-Qaida,,,
QDe.148,ENTITY,THE ARMY OF EMIGRANTS AND SUPPORTERS,,,,Al-Qaida,,,
YEe.001,ENTITY,THE HOUTHIS,,,,Yemen,,,
QDe.014,ENTITY,THE ORGANIZATION OF AL-QAIDA IN THE ISLAMIC MAGHREB,,,,Al-Qaida,,,
IRe.075,ENTITY,TIZ PARS,,,,Iran,,,
KPe.015,ENTITY,TOSONG TECHNOLOGY TRADING CORPORATION,,,,DPRK,,,
CDe.008,ENTITY,TOUS POUR LA PAIX ET LE DEVELOPPEMENT (NGO),,,,DRC,,,
IQe.205,ENTITY,"TRADING AND TRANSPORT SERVICES COMPANY, LTD",,,,Iraq,,,
QDe.090,ENTITY,TUNISIAN COMBATANT GROUP,,,,Al-Qaida,,,
CDe.009,ENTITY,UGANDA COMMERCIAL IMPEX (UCI) LTD,,,,DRC,,,
QDe.068,ENTITY,UMMAH TAMEER E-NAU (UTN),,,,Al-Qaida,,,
QDe.015,ENTITY,WAFA HUMANITARIAN ORGANIZATION,,,,Al-Qaida,,,
KPe.074,ENTITY,WEIHAI WORLD-SHIPPING FREIGHT,,,,DPRK,,,
IRe.076,ENTITY,YA MAHDI INDUSTRIES GROUP,,,,Iran,,,
IRe.077,ENTITY,YAS AIR,,,,Iran,,,
IRe.078,ENTITY,YAZD METALLURGY INDUSTRIES (YMI),,,,Iran,,,
KPe.075,ENTITY,YUK TUNG ENERGY PTE LTD,,,,DPRK,,,
